slang,formal
"Aduh njir, lu mantul banget!","Astaga, saudara mantap sekali!"
"Aduh yhaa, you ajib banget!","Astaga, saudara hebat sekali!"
Jangan selow dong you,"Tolong jangan santai, saudara"
"Aduh anjir, loe jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Mabar yuk kamu, gw jadian nih","Bermain bersama yuk Anda, saya berhubungan"
"Aduh waduh, ente galau banget!","Astaga, saudara sedih sekali!"
"Aduh waduh, ente gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh deck, you gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh siap, kamu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh anjir, you mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh yhaa, loe cepet banget!","Astaga, kamu cepat sekali!"
lu sokin banget dah,kamu fokus sekali
"Aduh dah, you mantul banget!","Astaga, saudara mantap sekali!"
lu tuh ajib banget sih,kamu benar-benar hebat
"Aduh siap, lu gercep banget!","Astaga, saudara cepat sekali!"
"Aduh deck, lu syulit banget!","Astaga, kamu sulit sekali!"
"Aduh yaelah, elo jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh yhaa, lu mantul banget!","Astaga, kamu mantap sekali!"
"Aduh dah, ente bucin banget!","Astaga, kamu budak cinta sekali!"
"Mabar yuk elo, gw flexing nih","Bermain bersama yuk saudara, saya pamer"
elo ghosting banget dah,Anda menghilang sekali
"Aduh haha, kamu gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh dah, loe garing banget!","Astaga, kamu membosankan sekali!"
"Aduh anjir, kamu alay banget!","Astaga, kamu norak sekali!"
ente jadian banget dah,Anda berhubungan sekali
"Aduh njir, loe kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh dah, loe syulit banget!","Astaga, saudara sulit sekali!"
"Aduh deck, elo mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh deck, elo jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
Jangan gaskeun dong elo,"Tolong jangan bersungguh-sungguh, saudara"
"Mabar yuk elo, gw ribut nih","Bermain bersama yuk saudara, saya berdebat"
Jangan selow dong kamu,"Tolong jangan santai, Anda"
Jangan block dong elo,"Tolong jangan blokir, kamu"
"Aduh yaelah, ente gercep banget!","Astaga, kamu cepat sekali!"
elo tuh ngehe banget sih,kamu benar-benar menjengkelkan
"Aduh haha, ente syulit banget!","Astaga, kamu sulit sekali!"
ente tuh bucin banget sih,saudara benar-benar budak cinta
elo unfriend banget dah,Anda hapus pertemanan sekali
"Aduh yaelah, elo baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh waduh, lu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh yhaa, you cepet banget!","Astaga, kamu cepat sekali!"
"Mabar yuk you, gw block nih","Bermain bersama yuk saudara, saya blokir"
"Aduh anjir, lu gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Mabar yuk ente, gw selow nih","Bermain bersama yuk saudara, saya santai"
"Mabar yuk loe, gw gaskeun nih","Bermain bersama yuk saudara, saya bersungguh-sungguh"
"Aduh deck, elo galau banget!","Astaga, saudara sedih sekali!"
"Aduh haha, lu mantul banget!","Astaga, Anda mantap sekali!"
"Aduh yaelah, elo alay banget!","Astaga, kamu norak sekali!"
"Aduh waduh, lu galau banget!","Astaga, kamu sedih sekali!"
"Aduh yhaa, elo kepo banget!","Astaga, Anda penasaran sekali!"
"Mabar yuk lu, gw mabar nih","Bermain bersama yuk saudara, saya main bersama"
"Aduh dah, ente lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh anjir, kamu ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh njir, kamu syulit banget!","Astaga, kamu sulit sekali!"
"Aduh anjir, kamu jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh waduh, you mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh haha, lu bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh wkwk, kamu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Mabar yuk you, gw nyok nih","Bermain bersama yuk Anda, saya ayo"
"Aduh yaelah, you ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh yhaa, kamu gabut banget!","Astaga, Anda tidak produktif sekali!"
"Aduh yhaa, elo cepet banget!","Astaga, saudara cepat sekali!"
"Aduh haha, loe galau banget!","Astaga, saudara sedih sekali!"
ente tuh lebay banget sih,Anda benar-benar berlebihan
"Aduh anjir, elo syulit banget!","Astaga, Anda sulit sekali!"
"Aduh dah, you ngehe banget!","Astaga, Anda menjengkelkan sekali!"
"Aduh yaelah, you ajib banget!","Astaga, Anda hebat sekali!"
"Aduh waduh, loe gercep banget!","Astaga, kamu cepat sekali!"
Jangan mabar dong ente,"Tolong jangan main bersama, kamu"
"Aduh waduh, ente gercep banget!","Astaga, kamu cepat sekali!"
kamu tuh alay banget sih,saudara benar-benar norak
"Aduh waduh, kamu tajir banget!","Astaga, kamu kaya sekali!"
"Aduh haha, you lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh yhaa, lu mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh waduh, kamu kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh yaelah, lu kepo banget!","Astaga, kamu penasaran sekali!"
you tuh ambyar banget sih,Anda benar-benar hancur
"Aduh waduh, ente kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh yhaa, lu kepo banget!","Astaga, Anda penasaran sekali!"
"Mabar yuk kamu, gw unfriend nih","Bermain bersama yuk Anda, saya hapus pertemanan"
"Aduh waduh, ente cepet banget!","Astaga, Anda cepat sekali!"
"Aduh yhaa, kamu tajir banget!","Astaga, Anda kaya sekali!"
elo tuh baper banget sih,Anda benar-benar terlalu sensitif
"Aduh wkwk, ente cepet banget!","Astaga, kamu cepat sekali!"
Jangan nyok dong you,"Tolong jangan ayo, Anda"
Jangan gaskeun dong kamu,"Tolong jangan bersungguh-sungguh, saudara"
"Aduh yaelah, you santuy banget!","Astaga, kamu santai sekali!"
"Aduh siap, ente ngehe banget!","Astaga, kamu menjengkelkan sekali!"
loe nyok banget dah,Anda ayo sekali
"Aduh yhaa, elo gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh siap, you cepet banget!","Astaga, Anda cepat sekali!"
"Aduh njir, lu santuy banget!","Astaga, kamu santai sekali!"
"Aduh deck, kamu syulit banget!","Astaga, Anda sulit sekali!"
"Aduh siap, you gercep banget!","Astaga, saudara cepat sekali!"
"Aduh dah, ente ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh anjir, elo lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh yhaa, kamu baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh yhaa, you mager banget!","Astaga, saudara malas gerak sekali!"
ente tuh gabut banget sih,Anda benar-benar tidak produktif
"Aduh njir, kamu jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Mabar yuk loe, gw selow nih","Bermain bersama yuk saudara, saya santai"
"Aduh haha, ente ajib banget!","Astaga, Anda hebat sekali!"
"Aduh haha, ente gemoy banget!","Astaga, Anda menggemaskan sekali!"
"Aduh yaelah, elo ajib banget!","Astaga, Anda hebat sekali!"
Jangan gaskeun dong loe,"Tolong jangan bersungguh-sungguh, kamu"
"Aduh siap, elo garing banget!","Astaga, kamu membosankan sekali!"
"Aduh yaelah, ente gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh siap, ente mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh wkwk, ente tajir banget!","Astaga, saudara kaya sekali!"
"Aduh yhaa, you alay banget!","Astaga, kamu norak sekali!"
"Aduh deck, elo alay banget!","Astaga, saudara norak sekali!"
ente tuh mantul banget sih,Anda benar-benar mantap
"Aduh njir, lu cepet banget!","Astaga, saudara cepat sekali!"
"Aduh siap, lu galau banget!","Astaga, kamu sedih sekali!"
"Aduh siap, loe baper banget!","Astaga, saudara terlalu sensitif sekali!"
kamu tuh bucin banget sih,Anda benar-benar budak cinta
"Aduh haha, loe bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh waduh, loe santuy banget!","Astaga, saudara santai sekali!"
"Mabar yuk lu, gw jadian nih","Bermain bersama yuk saudara, saya berhubungan"
"Aduh wkwk, ente mantul banget!","Astaga, kamu mantap sekali!"
"Aduh dah, loe mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh deck, lu lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh anjir, ente garing banget!","Astaga, saudara membosankan sekali!"
"Aduh dah, you garing banget!","Astaga, Anda membosankan sekali!"
you tuh gemoy banget sih,saudara benar-benar menggemaskan
"Aduh siap, you garing banget!","Astaga, saudara membosankan sekali!"
"Aduh yaelah, ente cepet banget!","Astaga, saudara cepat sekali!"
"Aduh yaelah, loe bucin banget!","Astaga, saudara budak cinta sekali!"
"Aduh waduh, you bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh dah, loe gercep banget!","Astaga, Anda cepat sekali!"
ente tuh jomblo banget sih,Anda benar-benar tidak punya pasangan
"Aduh siap, ente baper banget!","Astaga, saudara terlalu sensitif sekali!"
"Aduh waduh, kamu syulit banget!","Astaga, Anda sulit sekali!"
"Aduh yaelah, ente ajib banget!","Astaga, kamu hebat sekali!"
"Aduh yhaa, kamu gercep banget!","Astaga, kamu cepat sekali!"
"Aduh njir, elo cepet banget!","Astaga, Anda cepat sekali!"
"Aduh wkwk, you bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh yaelah, elo bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh waduh, you gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh haha, you tajir banget!","Astaga, saudara kaya sekali!"
"Aduh yaelah, you kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh haha, ente mantul banget!","Astaga, saudara mantap sekali!"
"Aduh deck, ente gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh dah, elo jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh waduh, lu ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh siap, elo alay banget!","Astaga, Anda norak sekali!"
"Aduh dah, ente santuy banget!","Astaga, Anda santai sekali!"
"Aduh deck, kamu gercep banget!","Astaga, kamu cepat sekali!"
"Aduh dah, kamu mantul banget!","Astaga, saudara mantap sekali!"
"Aduh siap, elo gemoy banget!","Astaga, Anda menggemaskan sekali!"
kamu flexing banget dah,saudara pamer sekali
kamu tuh mager banget sih,Anda benar-benar malas gerak
"Aduh yaelah, ente kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh anjir, elo ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh njir, lu syulit banget!","Astaga, saudara sulit sekali!"
"Aduh deck, lu mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh anjir, ente kepo banget!","Astaga, kamu penasaran sekali!"
"Aduh deck, elo syulit banget!","Astaga, Anda sulit sekali!"
"Aduh haha, ente baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh waduh, ente ambyar banget!","Astaga, saudara hancur sekali!"
you japri banget dah,kamu kirim pesan pribadi sekali
"Aduh yhaa, ente gabut banget!","Astaga, saudara tidak produktif sekali!"
Jangan ghosting dong you,"Tolong jangan menghilang, kamu"
"Mabar yuk you, gw sokin nih","Bermain bersama yuk kamu, saya fokus"
"Aduh yhaa, loe gercep banget!","Astaga, Anda cepat sekali!"
"Aduh deck, lu baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh haha, ente ngehe banget!","Astaga, kamu menjengkelkan sekali!"
Jangan mabar dong lu,"Tolong jangan main bersama, Anda"
"Aduh njir, lu jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh yaelah, ente mager banget!","Astaga, saudara malas gerak sekali!"
"Mabar yuk loe, gw unfriend nih","Bermain bersama yuk kamu, saya hapus pertemanan"
"Aduh yhaa, ente ngehe banget!","Astaga, kamu menjengkelkan sekali!"
"Aduh deck, lu garing banget!","Astaga, saudara membosankan sekali!"
"Aduh yhaa, lu alay banget!","Astaga, saudara norak sekali!"
"Aduh waduh, you ambyar banget!","Astaga, saudara hancur sekali!"
"Mabar yuk loe, gw jadian nih","Bermain bersama yuk Anda, saya berhubungan"
"Aduh anjir, kamu santuy banget!","Astaga, Anda santai sekali!"
"Aduh yaelah, elo gercep banget!","Astaga, kamu cepat sekali!"
Jangan selow dong lu,"Tolong jangan santai, Anda"
"Aduh deck, ente galau banget!","Astaga, kamu sedih sekali!"
"Aduh haha, kamu baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh siap, loe bucin banget!","Astaga, Anda budak cinta sekali!"
kamu troll banget dah,kamu mengganggu sekali
"Aduh anjir, you bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh anjir, you santuy banget!","Astaga, Anda santai sekali!"
"Aduh dah, ente galau banget!","Astaga, saudara sedih sekali!"
Jangan ghosting dong lu,"Tolong jangan menghilang, saudara"
"Aduh anjir, kamu gercep banget!","Astaga, Anda cepat sekali!"
"Aduh yaelah, lu lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh siap, lu ambyar banget!","Astaga, kamu hancur sekali!"
"Aduh dah, lu alay banget!","Astaga, kamu norak sekali!"
"Aduh siap, ente gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh siap, lu tajir banget!","Astaga, saudara kaya sekali!"
Jangan jadian dong kamu,"Tolong jangan berhubungan, saudara"
Jangan nyok dong loe,"Tolong jangan ayo, saudara"
"Aduh anjir, you gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh siap, kamu tajir banget!","Astaga, kamu kaya sekali!"
"Aduh siap, you ajib banget!","Astaga, Anda hebat sekali!"
"Aduh yaelah, kamu bucin banget!","Astaga, kamu budak cinta sekali!"
"Mabar yuk ente, gw ghosting nih","Bermain bersama yuk kamu, saya menghilang"
"Aduh dah, elo baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh anjir, kamu gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh siap, you kepo banget!","Astaga, Anda penasaran sekali!"
"Aduh haha, loe syulit banget!","Astaga, saudara sulit sekali!"
"Aduh wkwk, ente gemoy banget!","Astaga, saudara menggemaskan sekali!"
elo tuh gabut banget sih,saudara benar-benar tidak produktif
"Aduh deck, you jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh waduh, you garing banget!","Astaga, kamu membosankan sekali!"
"Aduh dah, kamu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh njir, kamu cepet banget!","Astaga, kamu cepat sekali!"
loe mabar banget dah,Anda main bersama sekali
"Aduh dah, loe kepo banget!","Astaga, Anda penasaran sekali!"
loe tuh tajir banget sih,Anda benar-benar kaya
"Aduh njir, you baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh deck, ente lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh deck, kamu gemoy banget!","Astaga, Anda menggemaskan sekali!"
Jangan japri dong elo,"Tolong jangan kirim pesan pribadi, kamu"
"Aduh yhaa, you jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
you tuh bucin banget sih,Anda benar-benar budak cinta
"Aduh haha, kamu garing banget!","Astaga, Anda membosankan sekali!"
kamu sokin banget dah,Anda fokus sekali
"Aduh wkwk, kamu lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh njir, ente syulit banget!","Astaga, Anda sulit sekali!"
"Mabar yuk ente, gw gaskeun nih","Bermain bersama yuk Anda, saya bersungguh-sungguh"
"Aduh njir, lu lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh yhaa, ente jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
"Aduh siap, lu ajib banget!","Astaga, kamu hebat sekali!"
"Aduh waduh, ente bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh siap, loe tajir banget!","Astaga, saudara kaya sekali!"
"Aduh yaelah, elo cepet banget!","Astaga, saudara cepat sekali!"
"Aduh dah, kamu tajir banget!","Astaga, saudara kaya sekali!"
"Aduh wkwk, kamu garing banget!","Astaga, kamu membosankan sekali!"
"Aduh yhaa, loe gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh dah, elo tajir banget!","Astaga, Anda kaya sekali!"
"Aduh yhaa, loe ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh anjir, lu jomblo banget!","Astaga, saudara tidak punya pasangan sekali!"
Jangan flexing dong lu,"Tolong jangan pamer, saudara"
"Aduh yhaa, loe bucin banget!","Astaga, Anda budak cinta sekali!"
"Aduh deck, elo lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh haha, elo cepet banget!","Astaga, saudara cepat sekali!"
"Aduh yaelah, loe gemoy banget!","Astaga, saudara menggemaskan sekali!"
"Aduh dah, lu santuy banget!","Astaga, kamu santai sekali!"
Jangan mabar dong loe,"Tolong jangan main bersama, kamu"
"Mabar yuk lu, gw troll nih","Bermain bersama yuk saudara, saya mengganggu"
"Aduh yhaa, ente lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh yhaa, elo gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh waduh, lu tajir banget!","Astaga, Anda kaya sekali!"
"Aduh njir, kamu baper banget!","Astaga, Anda terlalu sensitif sekali!"
ente nyok banget dah,saudara ayo sekali
"Aduh yaelah, loe gabut banget!","Astaga, saudara tidak produktif sekali!"
Jangan sokin dong elo,"Tolong jangan fokus, Anda"
"Aduh wkwk, loe kepo banget!","Astaga, saudara penasaran sekali!"
"Aduh anjir, ente galau banget!","Astaga, kamu sedih sekali!"
"Aduh njir, you mantul banget!","Astaga, saudara mantap sekali!"
"Aduh njir, elo jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh deck, elo gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh haha, loe santuy banget!","Astaga, kamu santai sekali!"
"Aduh njir, you ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh deck, you mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh haha, you ngehe banget!","Astaga, Anda menjengkelkan sekali!"
Jangan gaskeun dong you,"Tolong jangan bersungguh-sungguh, saudara"
"Aduh yaelah, you lebay banget!","Astaga, kamu berlebihan sekali!"
"Aduh deck, loe gabut banget!","Astaga, saudara tidak produktif sekali!"
"Aduh njir, you mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh haha, loe mager banget!","Astaga, Anda malas gerak sekali!"
"Aduh wkwk, lu baper banget!","Astaga, saudara terlalu sensitif sekali!"
Jangan jadian dong lu,"Tolong jangan berhubungan, Anda"
"Aduh deck, kamu garing banget!","Astaga, kamu membosankan sekali!"
"Aduh wkwk, you baper banget!","Astaga, Anda terlalu sensitif sekali!"
"Aduh siap, lu lebay banget!","Astaga, saudara berlebihan sekali!"
"Aduh njir, loe alay banget!","Astaga, kamu norak sekali!"
"Aduh dah, lu ajib banget!","Astaga, saudara hebat sekali!"
"Aduh yaelah, loe santuy banget!","Astaga, Anda santai sekali!"
"Aduh yhaa, elo mantul banget!","Astaga, Anda mantap sekali!"
"Aduh yaelah, you bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh anjir, loe syulit banget!","Astaga, Anda sulit sekali!"
"Aduh wkwk, kamu galau banget!","Astaga, Anda sedih sekali!"
"Aduh dah, ente baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh deck, you ambyar banget!","Astaga, kamu hancur sekali!"
"Mabar yuk ente, gw troll nih","Bermain bersama yuk kamu, saya mengganggu"
"Aduh yaelah, kamu mantul banget!","Astaga, Anda mantap sekali!"
"Aduh njir, ente baper banget!","Astaga, kamu terlalu sensitif sekali!"
"Aduh deck, lu gemoy banget!","Astaga, saudara menggemaskan sekali!"
you flexing banget dah,saudara pamer sekali
"Aduh siap, loe syulit banget!","Astaga, saudara sulit sekali!"
"Aduh wkwk, elo ngehe banget!","Astaga, saudara menjengkelkan sekali!"
elo tuh bucin banget sih,Anda benar-benar budak cinta
"Aduh njir, ente lebay banget!","Astaga, Anda berlebihan sekali!"
